0.084,0.466,0.217,0.018,0.233
0.012,0.277,0.012,0.011,0.065
0.013,0.012,0.221,0.012,0.230
0.014,0.016,0.083,0.084,0.039
0.012,0.010,0.012,0.013,0.317
0.329,0.003,0.135,0.009,0.494
0.319,0.311,0.015,0.011,0.782
0.297,0.330,0.485,0.302,0.334
0.331,0.303,0.141,0.009,0.021
0.011,0.338,0.340,0.009,0.556
0.013,0.331,0.056,0.326,0.163
0.012,0.336,0.009,0.009,0.072
0.008,0.010,0.063,0.322,0.401
0.008,0.010,0.330,0.010,0.015
0.009,0.010,0.058,0.331,0.154
0.337,0.006,0.029,0.011,0.953
0.337,0.007,0.453,0.331,0.709
0.323,0.007,0.146,0.013,0.002
0.329,0.306,0.001,0.339,0.897
0.332,0.303,0.029,0.010,0.000
0.327,0.307,0.459,0.342,0.004
0.008,0.338,0.085,0.336,0.757
0.012,0.342,0.341,0.011,0.001
0.012,0.325,0.050,0.331,0.025
0.013,0.011,0.078,0.332,0.003
0.332,0.005,0.002,0.339,0.988
0.337,0.007,0.027,0.013,0.000
0.338,0.008,0.462,0.335,0.000
0.336,0.301,0.003,0.334,0.000
0.010,0.335,0.087,0.330,0.000
0.341,0.005,0.001,0.346,0.000
