"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0,0,0,0,0,0,0,0,0,0
"2",1,0,0,0,0,0.8416,0.0568,0.0576,0.0184,0.0256
"3",0,1,0,0,0,0.0052,0.7054,0.094,0.1456,0.0498
"4",0,0,1,0,0,0.0158,0.0906,0.8372,0.0232,0.0332
"5",0,0,0,1,0,0.0354,0.0374,0.0478,0.8564,0.023
"6",0,0,0,0,1,0.0358,0.0234,0.0276,0.0146,0.8986
"7",1,1,0,0,0,0.6328,0.9654,0.112,0.0958,0.194
"8",1,0,1,0,0,0.7162,0.113,0.9486,0.0184,0.2038
"9",1,0,0,1,0,0.8196,0.0918,0.1408,0.8994,0.0484
"10",1,0,0,0,1,0.8694,0.0836,0.044,0.0514,0.9516
"11",0,1,1,0,0,0.0106,0.4828,0.8688,0.4746,0.1632
"12",0,1,0,1,0,0.007,0.6918,0.365,0.8548,0.0814
"13",0,1,0,0,1,0.027,0.4566,0.2308,0.3682,0.9174
"14",0,0,1,1,0,0.0284,0.0908,0.96,0.7912,0.1296
"15",0,0,1,0,1,0.0642,0.0976,0.7722,0.1208,0.9452
"16",0,0,0,1,1,0.0604,0.038,0.0882,0.8866,0.9268
"17",1,1,1,0,0,0.4616,0.9664,0.9496,0.0634,0.559
"18",1,1,0,1,0,0.6324,0.9774,0.1854,0.9556,0.2492
"19",1,1,0,0,1,0.7352,0.97,0.1158,0.1852,0.9938
"20",1,0,1,1,0,0.7428,0.0858,0.9838,0.8826,0.305
"21",1,0,1,0,1,0.819,0.2208,0.9086,0.06,0.9916
"22",1,0,0,1,1,0.8796,0.112,0.0908,0.9448,0.9728
"23",0,1,1,1,0,0.0022,0.6656,0.9166,0.8976,0.518
"24",0,1,1,0,1,0.0124,0.6452,0.8538,0.5038,0.9848
"25",0,1,0,1,1,0.0374,0.6816,0.3862,0.926,0.9688
"26",0,0,1,1,1,0.0798,0.2348,0.854,0.8454,0.986
"27",1,1,1,1,0,0.4138,0.9706,0.981,0.928,0.7066
"28",1,1,1,0,1,0.8908,0.9968,0.9876,0.1248,1
"29",1,1,0,1,1,0.8244,0.988,0.217,0.973,0.9976
"30",1,0,1,1,1,0.8994,0.1496,0.993,0.9592,0.9988
"31",0,1,1,1,1,0.0232,0.9976,0.998,0.9812,1
"32",1,1,1,1,1,0.2366,0.94,0.9478,0.8782,0.9974
